respondent,letter,cond,nword
R_9ztS9AJdzEy7QeV,"This video was very informative and was a great resource for athletes. The Concussion is a brain injury that causes functional changes and not structural changes seen on a MRI. Knowing the sx of the concussion are key to identifying if you or your teammates have a concussion. Sx of concussion: loss of conscience, memory loss, difficulty concentration, headache, confusion, mood changes, loss of interest, and sensitivity to light. Preventing concussions are key, so do not aim for other players head, do not lead with your head, wear proper safe equipment, and understand the rules of the sport. When you think you have a concussion, one should report your concussion, get checked out, and take time to recover. If one does not report concussions, their risk for concussions are higher and can lead to long term brain damage.",c1,138
R_0prhpa4Z4QdizEp,"I hope to remember the different symptoms of a concussion that are not typically viewed as concussion symptoms like nausea or irritability in addition to common symptoms like headache or loss of consciousness.  These lesser talked about symptoms are just as important and could give a sign that you have a brain injury.    I also hope to remember to look out for my teammates to make sure they are healthy.  As a volleyball player, balls fly from all over the court and can very easily strike an unexpected player's head. if I notice a teammate get hit, I hope I can remember to look for the symptoms talked about in the video so that they get treatment and can recover more quickly.",c1,122
R_1RNGYOrpupnRjrn,"Concussions are not immediate, they could show up hours or days after the initial blow.  The style of play some teams use are more concussion prone. All teams should take a safe approach when playing. Signs of a concussioninclude;amnesia, headache, confusion, nausea, unusually irritable, difficulty with concentration, slow reaction time, and sensitivity to light and noise    Some activities that can make it worse are exercising, studying, and playing videogames. If I have a concussion I need to take a break from all normal activities and just let my brain rest until the concussion has subsided. If I have a concussion I should not hide it, I should report it and get it checked out, and I should take time to recover. Missing a couple games is better than making a concussion worse and missing the season.",c1,136
R_cDa9d3YmIUc9iAt,"Always try your best to avoid getting a concussion. You can do this by avoiding both direct and indirect blows to the head. However, if you fall hard or get hit hard and begin to show signs of a concussion, do not be afraid to tell someone and get it checked out.  In the long run, ensuring a concussion is not present, or taking care of one that is, will prevent long term damage. ""When in doubt, get checked out"".",c1,80
R_e9h1zW6SbxzKqs5,"Dear Me,  Concussions are not a thing to take lightly. Always remember that when in doubt get it checked out. Concussions at hard to detect using medical equipment so there is other stuff to look at when evaluating a concussion. Look for symptoms such as nausea, headache, troubling remembering things, irritability, and lack of focus. It is also important to know it does not need to be a direct hit to the head and the athlete does not need to be knocked unconscious. Basically, know the signs and symptoms of a concussion to prevent further damage in the future.    Secondly, if these signs are present for you or one of your teammates, do not hesitate to let the coach know and go see a doctor. It is important to rest and not doing anything taxing on your mind that requires concentration possibly making the concussion worse. Overall, concussions do not show structural damage in a scan, but it does affect how your brain functions and it is important to report this than hide it.",c1,174
R_4MCqTHDaH73z4eF,"When in doubt get checked out. This statement was probably the most important one made in the video. I hope that if I ever exhibit symptoms of a concussion I will get checked out rather than waiting and possibly worsening the injury.  As an athlete that is susceptible to concussions, it's important to communicate to your coach and teammates when you believe you have sustained a concussion. Don't feel like you have to play if you are exhibiting any signs of a concussion.",c1,83
R_5nkkZCrZv3Awd5b,"Travis,    You have to remember to go to the doctor of you think that you might have a concussion no matter what point you are at in the season. Playing with a concussion and risking the chance that it isn't a concussion or that it could even get worse isn't worth it. It is worth it however to be out for a short time then to be out for a long time.    I know that you are stubborn when it comes to injuries in sports because you always want to play and find it kind of weak to not play unless you are physically not able to. The important thing is that you put that aside when it comes to the possibility if having a concussion because that is one injury that can have a long effect on your life. Not just that but if you worsen the concussion, it will effect your school work because it will be hard to focus and study for quizzes and exams.",c1,168
R_9spyPOKzqRDbU57,"Dear Future Alex,    Here are some tricks to self diagnosing a possible concussion, or ways of figuring out if anyone else around you has a concussion. If you or someone you know is feeling any of the following, get checked out;  -Foggy, groggy, in a head fog that isn't caused from lack of sleep/other school related stresses  -Irritable or any kind of agitated state that wouldn't be considered normal for you/them  -Experiencing persistent headaches, especially if it gets worse  -Feeling nauseous or actually throwing up as a result to a head hit  -Can't remember things, whether it be from a while ago, or if you can't recall why your head hurts  -If you are generally confused on what happened, can be similar to amnesia but more or less about 'why'  -If your memory or concentration are slipping a bit    If any of these, or multiple symptoms are present, get checked out. Rather miss a game than a season. Torn ACL, broken ankles, torn rotator cuffs will heal and recover, the brain isn't as resilient, and guaranteed to heal! Let it heal!",c1,181
R_2adyghUBdhVf6fz,"Concussions can get very bad when not treated well. A concussion can be identified from amnesia, blacking out, or having a headache. They can lead to permanent brain damage if play is continued while having a concussion.  Going to a coach or teammate is a good idea even if the concussion is not 100 percent. Slower reaction times and worse schoolwork may be signs of a concussion that affect day to day life, so it is not strictly applied to sports. When it comes to concussions, it is better safe than sorry.",c1,92
R_a8Ws5P9GNFncjtj,"The symptoms of a concussion can be immediate or pop up later, short or long term, or not even visible at the time. It is important to recognize symptoms early and be self-aware when one sustains a head injury. A big misconception is that one needs to be knocked out in order to get a concussion. However, even indirect contact to the head is enough to get one.  As technology advances and more research is being done, the seriousness of concussions is being more emphasized in athletes.",c1,87
R_9Ny3KibX05OqzfT,"To prevent a concussion, practice the sport safely. Some of the symptoms show up right away and some show up later. Dizziness, nausea, and headaches are some of the symptoms that are common for people with a concussion.    Other lesser-known symptoms are decreased memory and laziness. Many things make the concussion worse. Noise or working on a computer for a long time make the concussion more irritable than usual. Noncontact sports can cause concussions such as riding a bike. If you think you have a concussion, don't hide it and take some time to recover from it.",c1,97
R_0PboxepZE6agQZv,"If you think you might have a concussion do not play water polo or any physical activity where you have a risk of injuring your head.  A concussion is a brain injury and should be treated likewise.  If the brain isn't given adequate time to heal you can permanently damage yourself.  It is important to be mindful of how you feel after sustaining a head injury in order to catch a concussion early.    Some of the symptoms may be nausea, head ache, difficulty focusing, and aversion to light or sound.  Sometimes you can jus feel off and if that's the case it is still worth getting checked out.",c2,108
R_4SKVRYPhMCa9ddz,"The main point of this video is to keep athletes safe. To do this, they educate the viewer on what the symptoms of a concussion are and what to do if they have these. Some of the conditions that a person with a concussion has are headache, nausea, difficulty concentrating, dizziness, fuzzy vision, and irritability.    The other thing that I feel is important is to always get checked out if you even remotely think you have one. If somebody works through a concussion, it can lead to serious health problems in the future.",c2,93
R_cuwI72CHwkGh4Xz,"What's up dude, if you're reading this and wondering if you have a concussion, odds are that you probably do. You know the symptoms, granted, you are super forgetful and absent minded to begin with but if you're feeling nauseous and can't look out your bedroom window I think it's time to see UHS. Believe me, I know how much you like water polo, because ya know, I'm you. But the long term health of your brain is much more important to your future than a club sport that ends in 4 years.   After you've seen a licensed physician, not your best friend who's a med student, you should really take a few days to allow your brain to chill out. Now, usually I don't have to convince someone like yourself to take a break from thinking and being a functioning human being but when I say ""take a break,"" I mean from everything. No TV, no YouTube, no videogames, nada. Your goal should be to become a vegetable for however long the doctor deems necessary; that may take 2 days or 2 weeks. Every brain is different so you shouldn't feel weak if your healing process takes longer than most. That's about all I got, I have no idea if you will ever read this someday but whatevs.",c2,219
R_2mMIQeC2qJXQuBT,"The decision to tell or not to tell. Always tell and be on the safe side. Concussions can hurt your academics, relationships, and sports success.  The quality of life impacted is not worth not telling someone so speak out!    Concussions are not a joke. Just because you have pride and want to be the tough guy and make it through the pain, its not worth it. You need your health to be successful in your sport and in your life. The effects only compound if you don't tell someone. Better to be safe than sorry.",c3,95
R_bg5nC3JBEtJ43VX,"Hey future me make sure you remember that risking your relationships, academics and future jobs is not worth the extra playing time in your sports.  If you have a concussion it is much smarter in the long run to report it.  reporting earlier may even speed up the recovery time.  So you would possibly be playing, fighting or wrestling sooner.    Just remember that the  trainers know what they are doing and want to help you get back to the level of competition that you were at before.  Also remember that no one will shame you if sit out of practice or a game/match due to a concussion.  They would much rather see you recover than hurt yourself more.",c3,118
R_do6CEJjEWJo9bOR,Tell someone if you have a concussion. The worst that can happen is if you tell someone you would be able to play. While the worst thing that can happen if you don't is death. Even though that is rare it can still happen. Get rid of the idea that you have to be tough and just get the help that you need. This way you are healed quickly and can return to a normal life    Remember what happened to Zach his freshman year of high school. The concussion that he got was so bad that he was out of school for almost two weeks. When he did come back it was only for half days. Concussion are things that shouldn't be taken lightly. So make sure that I get the help that I need if I think that I have one.,c3,142
R_8wgrPUZcHz84AGF,"Concussions happen from a blow to the head that cause damage to the brain. Symptoms include; pain, loss of balance and irritability. If left untreated I could have permanent brain damage or possibly even die. I put myself at greater risk not having it checked.    It is better to get checked for a concussion rather than deal with it myself. Its better to miss out on a little bit of playtime now rather than a lot later. getting checked and receiving the proper treatment is more important than having permanent injury.",c3,91
R_81iteFQFu1IdjcV,"I can be sure that voicing my concern to coaches and trainers will be met with understanding. It is more important to consider my long term health than just one season, match, or practice. When in doubt, get checked out, as the narrator suggests.",c3,44
R_4IMcOGfvWhrodiR,"When you get headaches, can't concentrate,emotionally unstable, feel like you're always in slow motion, or just not feel like yourself.If you suspect you have concussion, you should always go ask for outside help (healthcare professional) and get checked up and see if you're ok.  If it doesn't bother really bother you, you still go check out,and tell someone if you are going to be playing in a competition. It's better to skip one game and get well, rather than letting your symptoms become more severe from exercising, and unable to attend any of the games.",c2,95
R_85ModscDG9EAnFr,"Concussions can happen during many types of collusions (indirect collusions - not to your head). It can change brain function and could occur weeks after concussion. Symptoms include amnesia, confusion, headaches, nausea, feelings of sluggishness, feelings of irritability, difficulty with memory/concentration -- ""mental fog"" feelings. Trying to exercise, study, or concentrate can increase concussion symptoms. Diagnosis of concussions use concentration and memory tasks. While healing, it's very likely you get another and can cause death.  Try to prevent concussions by preventing possible collusions. Take notice - teammates are usually the ones to notice differences in their teammates. If someone may have a concussion, don't hide the concussion, report the concussion, get checked out, and take time to recover.",c1,118
R_3WwhFB376XUI8rH,"A concussion can be a blow to the body as well has blows to the head.  They don't require a loss of consciousness.  Concussions are functional injuries to the brain, therefore symptoms of amnesia, confusion, headache, altered state of consciousness, nausea, fatigue, grogginess, irritability, sensitivity to light/noise, slowed reaction times, and difficulty with concentration are likely symptoms.  Studying or physical activity will worsen symptoms.  Each concussion is unique to that person.    If you think you have a concussion, you should inform someone of your symptoms, report it, get checked out by a healthcare professional, and take time to recover.  Your brain needs to heal.  You're most susceptible to recurring concussions and permanent damage during the healing process.  It's better to miss a few games than the entire season.",c1,128
R_a4tobZ9qfVxQlWB,"A concussion is a serious brain injury that exhibits a wide range of symptoms. Among those symptoms are headaches, confusion, nausea, loss of concentration, and increased irritability. The way one person experiences a concussion is not the same as everyone else as many people exhibit different combinations of these symptoms at different levels of discomfort. A concussion does not necessarily require a blow to the head, but a blow to the body can cause a concussion as well.  If any or a combination of the symptoms occur after a blow to the head or body, these symptoms should not be dismissed as they can lead to increasing complications in everyday life if not taken care of. In the case of a concussion, exercise, studying, and other thought requiring activities, such as video games, can be difficult with a concussion and make the situation worse. In the case that any of the symptoms arise, one should seek out guidance to ensure whether or not a concussion is present to prevent unnecessary difficulties in their sports life and everyday life.",c1,178
R_bqhCIAaDrgbZIgd,"Note to self: I hope to remember that having a concussion means there has been damage done to your brain either by direct or indirect contact. Without further investigation, this damage to your brain can lead to further complications that can lead to severe consequences. It doesn't not require a loss of consciousness and if I suspect I have a concussion, I need to take myself out of the game/sit out of practice and make sure I seek medical advice and get tested to see if I have one or not. I'd rather sit out of a few practices or games rather than an entire season or potentially have significant damage to my brain.     There are many symptoms that are related to having a concussion. Main ones include dizziness, fatigue, sensitivity to light and sound, irritability, amnesia, confusion, headache, nausea, sluggishness, fogginess, difficulty with concentration, and slow reaction time. If I or one of my teammates/friends notices these characteristics about me, I need to listen to them and get checked out. I also want to remember that continued exercise, video games, and studying can negatively impact the state of my concussion and should not be pursued if concussed.",c1,198
R_2f8pNPZQurRJzoN,"Concussions are brain injuries that have a large spectrum of symptoms and severity. This injury can occur through any kind of contact with the head that alters the function of your brain. This does not need to be a direct blow. Some of these symptoms include severe headaches, hyper stimulation of senses, mood swings, nausea, amnesia, difficulty concentrating, etc. One of the difficulties involved in diagnosing concussion is the unwillingness for an athlete/patient to report his/her symptoms. It is a misconception that one most enter a state of unconsciousness to sustain a concussion; however, this is often not the case.   As athletes we can take steps to both prevent concussions and the long-term affects of concussion. To prevent head injury prevention cautions we can alter our style of play and be sure to always wear head protection when required. Also, we should be more willing to report our symptom to trainers/coaches. Reporting your symptoms can only prevent further brain damage and keep your recovery time from extending even further into your season.",c1,172
R_1BJ8Q3RDdTRT509,"The main idea informed us about the possible side effects of a concussion and the prevention methods to avoid one. They talk about how there are some misconceptions to concussions including the following: if I don't lose consciousness, or I don't hit my head, I am fine. Head or body, by a secondary hit is capable of causing a concussion.      Some side effects include the following: dizzy, public spaces(Stimulation), irritable, more emotional according to family members.   Some prevention methods are to wear a helmet with contact, know the type of play (Do not lead w head), and know the ways of the game to become better and have less chance of a concussion.   four steps to the development of a concussion:  don't hide concussion, report concussion, get checked out, take time to recover.",c1,133
R_6thHvxcED4uO6AR,"Concussions can occur from any blow to the head, direct or indirect. It doesn't only have to happen if you hit your head on the ground but can be your body too. Main symptoms include headaches and loss of conscious, more emotional than normal, remembering and concentrating. Things that make symptoms reappear or get worse can be exercising, studying or looking at a screen for long periods of time.   Get a bike helmet. Just because you haven't had an injury biking around Madison yet doesn't mean you never will. If you think you may have had a concussion tell someone, either teammate, coach, or AT. Go to UHS to get it checked out. Take time to heal. Without healing you may bring symptoms back on and prolong the healing process. When in doubt, get checked out.",c1,136
R_cSHomkQSXLp0fkh,"Concussions can happen in a lot of different ways, not just getting a direct hit to your head. There are many different symptoms of concussions including nausea, headaches, fuzziness of the head, and vomiting. If you think you might have a concussion, it is safer to get checked out and not have one, than to wait it off and make it worse.   Some steps to consider if you have a concussion are to tell a trainer or your coach, don't hide it. Report your concussion in order to get checked out to see if you actually have a concussion or not. Take time to recover and get better rather than jumping back into your sport right away and making the injury worse.",c1,122
R_eg4NgYIKotpdeZf,"There are many different symptoms of a concussion, and everyone experiences these symptoms in a different way. It's important to look out for yourself and your teammates if they are showing any symptoms, and be sure to speak up.   If you think you have a concussion, it's important to get help from a medical provider. Seeing providers is huge, they can help you decide when to return to play and help monitor your progress.",c1,74
R_1Rdcz63qV44ss8l,"I hope to remember to keep an eye out for signs and symptoms of concussions with my teammates. Making sure they know not to play with the concussion is important. I also hope to remember that a concussion doesn't have to only come from a blow to the head, they can be caused by a blow to the body as well. I hope to remember that telling someone about a possible concussion is extremely important.     I hope to remember to make sure to take time to heal if I feel I have gotten a concussion. Playing in one game isn't as important as the life long damage it can do to the brain. I hope to remind myself and teammates that symptoms of concussions range so if they or I are feeling them, it is important to get checked out and immediately stop playing.",c1,144
R_dpoyFvg3x1EP8J7,"Even though you may love the sport that you do, your health comes first. No matter what is happening when you believe you've got a concussion, you should speak out. Don't minimize the issue because you may have severe effects if you don't take care it soon. Putting off the issue or trying to ignore it will only make matters worse.     If you are injured, your teammates will understand. It's best for you to take care of yourself before thinking of the team. The wouldn't want anything bad to happen to you just like you wouldn't want anything bad to happen to them. Most importantly, you would want to get checked out for a concussion before it interferes with your school work. To succeed academically is your main reason for being here and that along with your health is more important than anything else.",c1,144
R_7NYynS3FoaqKyDH,"Concussions can happen to anyone and does not have to come from a direct blow to the head. It is best to prevent it as best as you can. If you believe you have a concussion, do not hide it. Tell a coach or a teammate or a doctor to get the help you need. It is better to be wrong about it then not to do anything. Do not overstimulate yourself.    It is not embarrassing to have one and it can get out of hand if you do not seek treatement. The best thing is to tell someone and get checked out.",c1,103
R_795K4qXv56OZnNz,"Concussions are a serious deal Caylin. Though your high school football team may not have made it seem so, they are. This is the brain we're talking about. Your source of everything. And if you damage that, there are so many other parts of you that could get damaged if potential concussion issues are not addressed right away. Though your brain, or your teammate's for that matter, might not be structural damaged, and MRI's might show nothing, it could very much so be functionally damaged. And if you are not careful about this, and especially if you continue to let brain injuries like this continue to happen without being identified, then you could ruin how you let your life function for the rest of your years.    So in times of need, here are some things to watch out for. Amnesia, confusion, severe headaches, and even vomiting. Once you have used these symptoms to identify that you or someone else has a concussion, make sure to tell someone. Once again, the most important thing is to stop what your doing, to prevent further damage, and get it checked out. Your brain is a special and important part of you brain, and no sport is worth ruining it forever.",c1,207
R_1f2uhDO5kRVdewu,"Concussions can be a serious medical ailment, especially if not taken seriously. There are several myths about concussions, namely that it does not always come from a direct blow to the head and one does not need to lose consciousness in order to get a concussion. Therefore, if I even slightly suspect that I may have contracted a concussion, I should take it very seriously and seek help. The main things to look for after incidents are headaches, irritability, sensitivity to light.  Concussion prevention is also an essential part of concussion education. Practicing safe methods during practice and competition in my sport can help to prevent getting a concussion. If prevention fails and I suspect I have a concussion, I will refrain from practicing immediately and seek medical attention as soon as possible. If I do have one, I will take a break from practicing until I am completely better.",c1,150
R_1MtfqaeN47d9gOh,"In the future I hope to remember that concussions are a serious injury, and because of that you must be aware of the potential risk of suffering from one. If you are experiencing any of the symptoms; confusion, headache, nausea, feeling groggy etc. it is important to be aware of the possibility of a concussion. One reason that this is important is because if you don't recognize that you have one it can inhibit your abilities not only in sports but in school and other aspects of life. It affects these aspects of your life by slowing your reaction time, balance, sleep, and overall performance. It is important to recognize that you do not need to suffer a direct blow to the head, which is I feel like when I would be most likely to be alert of the possibility of a concussion. Concussion diagnosis is difficult because the symptoms overlap with many other things.  It is important to engage in safe practices of your sport, in cheer this will include spotting during stunts, not throwing anything you or you and your stunt group are not comfortable and confident in. Never ignore a blow to the head. If you feel like you may be suffering from a concussion do not be afraid to report it because it is better to sit out for a week to a month than for a whole season. If you report your concussion it is then imperative that you get it checked out and give yourself time to properly recover. This is important because it is easier to suffer another brain injury while your brain is healing, which will often be more severe since your brain is already damage.",c1,284
R_5ANwqpyjb8mf5m5,"I hope to remember the symptoms of a concussion. If someone is disoriented or has nausea, I should suspect it is a concussion. With that said, I also want to handle a concussion correctly if it occurs, such as seeing a doctor and getting a lot of rest.    A concussion is very severe. I now understand the consequences that a concussion can cause. It could impair memory, sight and hand eye coordination.",c1,72
R_3HTRiK9ZqFi17LI,Headaches are found in 90% of concussions. Throwing up more than two to three times is bad and should be checked out asap. Mood swings can also be a symptom of a concussion. Any blow to the body could cause a concussion.,c1,42
R_73rG1W0W1IT8cyV,"Headaches are not the only symptoms of headaches. Thing such as amnesia, confusion, and nausea are also symptoms. However, concussions can be prevented. While playing sports the risk is highly increased, yet if you display good sportsmanship and follow the rules of the sport closely, you may be able to prevent this head injury.    Pretending that you're okay is not good since the symptoms can be made worse. Activities that can make it worse are exercise, studying and playing video games. You also experience irritation to noise and light, so it is good to admit you are hurt and to act accordingly.",c1,102
R_0J2TiUnlRtcyla5,"Concussions are not to be taken lightly. Brain damage is a very prominent and real side effect from concussions and can affect you for the rest of your life. After impact to the head do not hesitate to tell someone and seek medical help because diagnosing a concussion early on can help prevent further damage. Be aware of the many symptoms of concussion in yourself and your teammates. Symptoms can be both mild and severe. Do not just think that it will get better because chances are they will not. Concussions are not visible without a medical professional. Whiplash can also cause a concussion so do not assume because you were not hit that you do not have one.                People with concussions will not seem like themselves and might have troubles concentrating. This will then effect your school work and lead to further problems. At practice use safety techniques not only to ensure your safety but the safety of your teammates. If you have a concussion do not hide it and tell your coach or trainer. Do not be afraid to tell your coach if you think a friend might have a concussion. The sooner you are checked out the sooner you can get back to practice. Take time to recover because your brain needs to heal. Getting another concussion on top of an existing concussion can lead to brain damage or possibly even death. Be careful, safe, and think about your future.",c1,243
R_bkkxYfrB6HW1aGp,"A concussion can be caused by something you wouldn't think of, so if there's any question get it checked out. Don't disregard symptoms you're having. Headaches is one of the main symptoms.          A concussion can be caused by an indirect blow to the head, such as your body, or things like whiplash. Dizziness is another big symptom of a concussion, as well as mood change such as being more irritable, anxious, or emotional in general.",c1,75
R_5apZks99htF8mR7,"A concussion is a brain injury caused to a blow tot he body. Can be caused by hitting your head or body on anything. It presents differently for each athlete. Does not require a loss of consciousness. Can be prevented: avoid contact with other objects/people, follow rules, practice skills of the sport. Concussions change brain function but isn't always clear right away. You need an assessment to determine if you have it for sure. Symptoms include amnesia, confusion, headaches (the most common symptom), loss of consciousness, nausea, feeling sluggish, feeling unusually irritable, difficulty concentrating, memory problems, slowed reaction time. You can make concussions worse by exercising, studying, or playing video games.   Considered a functional brain injury, not structural. People can have a wide spectrum of symptoms and severity. Sensitivity to light, noise, and stimulation is another symptom. People may not ""seem quite like themselves"" when they have a concussion. Always have a helmet on. 4 key steps if you think you have a concussion: don't hide it, report it, get checked out, and take time to recover. Repeat concussions can cause permanent damage. When in doubt, get checked out.",c1,189
R_9ZZ54jijjbbKIbH,"There are ways to prevent a concussion. Always play with good sportsmanship, and never lead with your head. Do not attempt to do any sort of stunt that you are not comfortable with.    If you feel as though you may have a concussion, it is very important that you tell someone. Keeping it to yourself is very dangerous. If you begin forgetting things, vomit, are usually irritable, or have any other usual symptoms, it can be very likely that you have a concussion.",c1,83
R_abdNrR7ksfntyPr,"One most important things to know about concussions is that you do not need to be knocked out in order to have a concussion; you do not need to be unconscious. Because of this, it is really important to be aware of concussion like symptoms if you take a hit or a blow to a head, such as blurry vision, dizziness, headaches, and having a hard time concentrating. These symptoms can all be of big trouble to students, so it is especially important to be aware of concussion like incidents or symptoms.     It is very important to be checked out immediately if you think you have undergone a concussion. Having a concussion can severely affect everyday activities, school work, and your performance in your sport. By not getting it checked out, you will risk getting a worse brain injury or not healing as quickly. A concussion is a functional injury, and not getting checked out will impair lots of functions.",c1,160
R_bvfrMCe1Fz3sdA9,"There are several symptoms that are possible when thinking about a concussion. These include headaches, irritability, difficulty focusing, and many more. If you notice anything odd or if you feel like something is not right, take some time off and definitely go get checked out by a doctor.   It is better to be precautious before a head injury gets worse. Head injuries can have long term effects on your work, learning, and ability. Rather than pushing through or ignoring any sort of pain or other symptom, the most important thing is to address the problem and go see someone who knows more about it.",c1,104
R_0uEjnbJmo8qN6XH,"A concussion is a functional brain injury caused by direct or indirect blows to the head. One does not have to lose consciousness to have sustained a concussion. Common symptoms of concussions are headache, dizziness, difficulty problem-solving, impaired concentration, and changes in personality, among others.    There are many ways to prevent concussions, including use of helmets, proper playing technique, adhering to game guidelines, avoiding leading with the head, and prevention of falls. If one does sustain a concussion, it is important not to hide it. It should be reported, checked out, and allowed time to heal by resting.",c1,98
R_0NWhrGQcOeetU4l,"Concussions are brain injuries that can be caused by hitting your head against another player, hitting a hard surface like the ground, or being hit in the head by a hard object. Concussions can also be caused by an indirect injury to the head, including whiplash from being hit somewhere else on the body. Concussions can be incredibly dangerous because they can alter the way your brain functions. Concussions can be prevented by using protective headwear at all times. The style of play can also impact the likelihood of a concussion, so targeting or leading with the head should be discouraged or penalized.     Symptoms of a concussion can be immediate or appear later, and include confusion, amnesia, headache, change in consciousness, nausea and feeling irritable or sleepy. There are many things that can further irritate these symptoms, including computer work, studying, concentrating on a task, loud noises and bright lights. A concussion is thought of as a functional brain injury instead of structural, because it is difficult to see on an MRI/CT scan. Diagnosing a concussion is not easy. If you think you have a concussion, you need to report it, get checked out, and take time to recover. Repeat concussions can lead to permanent brain injury or even death.",c1,210
R_8crDH2zCTBJOqVf,"if you are ever unsure whether or not you or a team has sustained a concussion injury, err on the side of caution. Many everyday activities can make the concussion injury and symptoms worse, including homework, watching TV, etc. The symptoms may present differently in every person, and even one symptom being present should be a sign to get checked out.     Repeat injuries can cause permanent brain damage or even death, so be sure to think about the cause of a past injury and how to avoid a similar situation in the future. Concussions can change the way a person thinks and behaves; be watchful of such changes in teammates so that you can help identify a potential injury. It is fairly uncommon to have a concussion in dance, but it could easily happen due to a fall or a lift that goes wrong. Think about what you can do technique-wise to minimize risks and keep yourself safe and healthy.",c1,160
R_9HRjxJihgaNpFL7,"I hope to remember that you do not need to black out to get a concussion. Feeling groggy, sleepless, or irritable may indicate a concussion. It is okay to get an opinion from a doctor, even if you are not sure that you have a concussion.    Studying may actually make a concussion worse. If you have been hit in the head and notice that studying is causing you pain, stop and see a doctor.",c1,74
R_6LqF29qZ36okN1P,"As you know with having had two concussions in your life already, concussions can be a very scary and painful experience. There are many causes for concussion, both direct and indirect. Even if you think you know what a concussion feels like and you believe you don't have one, still get it checked out. It is much better to be safe than sorry.    Just think back to when you endured both concussions. You had to finish out your summer softball season sitting on the bench instead of playing in your last two tournaments. You could've helped your teammates get to the championship of the Winfield tournament, but you ignored your symptoms for a few days and made the injury worse. Worse yet, you went back to the participating in sports too soon and reinjured yourself. The second concussion and the time sitting on the volleyball bench instead of out on the court playing could've been avoided.    You only have one brain, and you have to take care of it. This is the rest of your life you're talking about. Although it really stinks to miss a few games or practices now, it's much better than ignoring the symptoms or going back too soon and causing permanent damage. Be smart! Use your head!",c1,212
R_af4Mu0yz0iJzFoF,"Concussions can happen during practice or competition in any sport and is a functional change to the brain where symptoms can show up hours to days after the initial blow to the head or body. The symptoms vary (headache, dizziness, sensitivity to light and noise, problems concentrating, more irritable, amnesia, or confusion) and can be made worse by activities that require a lot of concentration. You do not need to lose consciousness to obtain a concussion.     Always wear appropriate safety equipment and follow the rules. If one does get a concussion, you should tell someone regardless if it is you or a teammate. Next you should report the concussion and get checked out. Finally, you need to take time to recover so your brain has time to heal. Repeat concussions can happen when an insufficient amount of time in given to a concussion.",c1,143
R_1cTHsdnvqaknGDv,"Concussions are a brain injury that has a range of symptoms. It is very important to get help if you think you have a concussion because it will not benefit you to keep it quiet. Never, ever ignore it, report it, so you can return to playing your sport sooner. The symptoms of a concussion can interfere with your daily life, so if you don't get help, it could be detrimental for your job and/or study.  Be able to recognize a concussion, so you can help not only yourself, but your teammates as well. Don't be afraid to report that if you have a concussion if you think you might have one because when you report it, you can start your recovery sooner, meaning you can return to normal sooner. Take recovery seriously and don't go back too soon because while you are playing softball now, you won't always be playing it. You have other things in life to look forward too, so don't let a concussion stand in your way of getting to them.",c1,175
R_bKjWUA4E6BVB9hb,"Make sure to remember that it is always better to report a concussion and be wrong than to not report it and injure yourself further. Also, concussions are worse when they reoccur, so if you are to ever get another concussion, it will be bad.    Another important thing to remember is that if you do get another concussion, you need to take time off mentally, not just physically from sports. It may be hard when working, but giving yourself that mental break to get better is crucial.",c1,87
R_eXmT0DEzgQsEG1L,"Concussions can happen in a multiple of ways, even though I do not play a contact sport it is still very possible to get a concussion. Direct blow to the head is not necessary.As a leader of the team and a teammate, I can report a potential concussion. They are different for everyone and no one symptoms are exactly the same.    Dizziness, lack of coordination, anxiousness, sleep, etc. are all examples of symptoms. Exercise, studying, and playing video games can make concussions worse. Also, wear helmets! Taking time after a concussion is very important.",c1,94
R_0oELHPCxLD4G31b,"Concussions are very different between patients. Concussions are a functional injury to the brain. You can't identify the severity of a concussion, it's a simple yes or no you have a concussion diagnosis. It can be caused by direct or indirect blow to the head (coup or counter-coup). It's important to report concussions so you don't get second impact syndrome (leads to death and permanent damage).    Common symptoms are headache, nausea, slow thinking, poor balance, moody, sensitive to light and sound. Don't hide symptoms. The sooner you take time off the sooner you'll be able to play.",c1,97
R_a5K1CrkWkkDoOYB,"Whenever there is a collision between a player (myself included) with another player, the ground, or a sport equipment, a concussion might occur. Some of the symptoms to look out for are: light-headedness, nausea, sensitivity to surrounding (light, sound), headache (especially ones that gradually focus onto one area), irritability, etc. A concussion does not always, however could entail a player being unconscious (aka when someone pass tf out).     To avoid concussions, good sportsmanship and being a responsible athlete are important. Remembering the rules of played sports and being aware of each others' safety is also important. Furthermore, we should never undermine a player's concern about a potential concussion because it could pact serious consequences.",c1,114
R_3efMiQUVJnu6R5b,Symptoms of a concussion are not always obvious and should be reported. These symptoms are dangerous and can lead to further brain damage if not addressed.,c1,26
R_cLVczrTcG6SanCR,"I hope to remember how important it is to report a concussion. Concussions don't get better if you wait longer to report them. Symptoms can also show up hours or even days after injury. I have to be very alert of how I am feelings. I have had a concussion before so I am more at risk for another even more damaging one. Even if I don't feel like my symptoms are severe I should tell someone and rest because ignoring it makes them a lot worse.  Don't play the sport or exercise after I had an injury and am feeling off. Restring to play will make my recovery a lot worse. It is really important to allow my brain to heal. Repeat concussions can cause severe brain damage. Remember "" when in doubt get checked out""",c1,137
